time	X	Y
933.000	0.931	6.956
934.000	0.931	6.956
935.000	0.943	6.968
936.000	0.927	6.952
937.000	0.953	6.978
938.000	0.950	6.975
939.000	0.929	6.953
940.000	0.863	6.887
941.000	0.836	6.860
942.000	0.806	6.830
943.000	0.803	6.827
944.000	0.850	6.874
945.000	0.877	6.901
946.000	0.892	6.915
947.000	0.851	6.874
948.000	0.865	6.888
949.000	0.934	6.957
950.000	0.922	6.945
951.000	0.901	6.924
952.000	0.889	6.912
953.000	0.928	6.950
954.000	0.913	6.936
955.000	0.881	6.904
956.000	0.844	6.866
957.000	0.859	6.881
958.000	0.853	6.875
959.000	0.837	6.859
960.000	0.848	6.869
961.000	0.877	6.899
962.000	0.877	6.898
963.000	0.900	6.921
964.000	0.908	6.929
965.000	0.930	6.951
966.000	0.912	6.933
967.000	0.946	6.967
968.000	0.955	6.975
969.000	0.964	6.984
970.000	0.925	6.946
971.000	0.932	6.952
972.000	0.937	6.957
973.000	0.913	6.933
974.000	0.845	6.865
975.000	0.828	6.848
976.000	0.782	6.801
977.000	0.762	6.781
978.000	0.799	6.818
979.000	0.784	6.803
980.000	0.799	6.818
981.000	0.769	6.788
982.000	0.774	6.793
983.000	0.756	6.774
984.000	0.742	6.761
985.000	0.732	6.750
986.000	0.683	6.701
987.000	0.689	6.707
988.000	0.718	6.736
989.000	0.729	6.747
990.000	0.726	6.744
991.000	0.683	6.701
992.000	0.699	6.717
993.000	0.647	6.665
994.000	0.583	6.600
995.000	0.590	6.607
996.000	0.616	6.632
997.000	0.583	6.600
998.000	0.570	6.586
999.000	0.485	6.502
1000.000	0.504	6.521
1001.000	0.549	6.566
1002.000	0.501	6.517
1003.000	0.503	6.519
1004.000	0.480	6.495
1005.000	0.447	6.463
1006.000	0.464	6.479
1007.000	0.459	6.474
1008.000	0.464	6.479
1009.000	0.465	6.480
1010.000	0.440	6.455
1011.000	0.450	6.465
1012.000	0.399	6.414
1013.000	0.389	6.403
1014.000	0.389	6.403
1015.000	0.391	6.405
1016.000	0.408	6.422
1017.000	0.454	6.468
1018.000	0.476	6.490
1019.000	0.437	6.451
1020.000	0.440	6.454
1021.000	0.458	6.471
1022.000	0.434	6.448
1023.000	0.437	6.450
1024.000	0.408	6.422
1025.000	0.418	6.432
1026.000	0.437	6.450
1027.000	0.421	6.434
1028.000	0.399	6.412
1029.000	0.385	6.397
1030.000	0.378	6.390
1031.000	0.349	6.362
1032.000	0.344	6.356
1033.000	0.323	6.335
1034.000	0.301	6.313
1035.000	0.276	6.288
1036.000	0.275	6.286
1037.000	0.254	6.266
1038.000	0.254	6.266
1039.000	0.228	6.239
1040.000	0.247	6.258
1041.000	0.263	6.274
1042.000	0.259	6.270
1043.000	0.284	6.295
1044.000	0.234	6.245
1045.000	0.246	6.257
1046.000	0.231	6.241
1047.000	0.269	6.279
1048.000	0.271	6.281
1049.000	0.321	6.331
1050.000	0.307	6.317
1051.000	0.331	6.341
1052.000	0.327	6.337
1053.000	0.367	6.376
1054.000	0.370	6.379
1055.000	0.392	6.402
1056.000	0.465	6.474
1057.000	0.517	6.526
1058.000	0.519	6.528
1059.000	0.499	6.508
1060.000	0.537	6.546
1061.000	0.551	6.560
1062.000	0.575	6.584
1063.000	0.544	6.552
1064.000	0.581	6.589
1065.000	0.583	6.591
1066.000	0.581	6.588
1067.000	0.591	6.598
1068.000	0.594	6.602
1069.000	0.596	6.603
1070.000	0.636	6.644
1071.000	0.619	6.626
1072.000	0.601	6.608
1073.000	0.577	6.583
1074.000	0.592	6.598
1075.000	0.586	6.593
1076.000	0.539	6.546
1077.000	0.546	6.552
1078.000	0.560	6.566
1079.000	0.623	6.629
1080.000	0.599	6.605
1081.000	0.603	6.608
1082.000	0.569	6.574
1083.000	0.633	6.639
1084.000	0.648	6.654
1085.000	0.649	6.654
1086.000	0.661	6.666
1087.000	0.661	6.666
1088.000	0.655	6.660
1089.000	0.653	6.657
1090.000	0.722	6.727
1091.000	0.756	6.760
1092.000	0.754	6.758
1093.000	0.756	6.760
1094.000	0.751	6.755
1095.000	0.805	6.809
1096.000	0.752	6.756
1097.000	0.732	6.736
1098.000	0.733	6.736
1099.000	0.802	6.806
1100.000	0.878	6.881
1101.000	0.933	6.936
1102.000	0.897	6.900
1103.000	0.913	6.916
1104.000	0.916	6.919
1105.000	0.895	6.898
1106.000	0.860	6.862
1107.000	0.861	6.864
1108.000	0.859	6.861
1109.000	0.866	6.868
1110.000	0.873	6.875
1111.000	0.898	6.900
1112.000	0.876	6.878
1113.000	0.856	6.858
1114.000	0.823	6.825
1115.000	0.839	6.840
1116.000	0.790	6.792
1117.000	0.791	6.792
1118.000	0.769	6.770
1119.000	0.789	6.789
1120.000	0.803	6.803
1121.000	0.852	6.852
1122.000	0.869	6.869
1123.000	0.860	6.860
1124.000	0.873	6.873
1125.000	0.849	6.849
1126.000	0.833	6.833
1127.000	0.872	6.872
1128.000	0.888	6.888
1129.000	0.869	6.869
1130.000	0.843	6.842
1131.000	0.853	6.852
1132.000	0.870	6.869
1133.000	0.900	6.899
1134.000	0.902	6.901
1135.000	0.933	6.932
1136.000	0.961	6.959
1137.000	0.937	6.935
1138.000	0.918	6.916
1139.000	0.942	6.940
1140.000	0.957	6.955
1141.000	0.991	6.989
1142.000	0.948	6.945
1143.000	0.990	6.987
1144.000	0.987	6.985
1145.000	1.024	7.022
1146.000	1.000	6.998
1147.000	1.051	7.049
1148.000	1.023	7.020
1149.000	1.041	7.038
1150.000	1.054	7.051
